Unit Name,Current Guesty Tags,CITY,PMC-INFORMATION,PROPERTY-EMAIL,VILLA NET DESTINATION TAG,VILLA NET PROPERTY MANAGER NAME,VILLA NET PARTNER RESERVATION EMAIL,VILLA NET RANK,VILLA NET COMMISSION RATE,VILLA NET EXCLUSIVE UNITS MANAGED,VILLA NET YEARS IN BUSINESS,VILLA NET AVG RESPONSE TIME HOURS,VILLA NET CALENDAR SYNC 99,VILLA NET CREDIT CARD ACCEPTED,VILLA NET INSURED,VILLA NET BANK TRANSFER ACCEPTED,VILLA NET STANDARDIZED HOUSEKEEPING,VILLA NET STAFF GRATUITY GUIDELINE,VILLA NET GATED COMMUNITY,VILLA NET GOLF VILLA,VILLA NET RESORT VILLA,VILLA NET RESORT COLLECTION NAME,VILLA NET CHEF INCLUDED,VILLA NET TRUE BEACH FRONT,VILLA NET COOK INCLUDED,VILLA NET WAITER BUTLER INCLUDED,VILLA NET OCEAN FRONT,VILLA NET OCEAN VIEW,VILLA NET WALK TO BEACH,VILLA NET ACCESSIBLE,VILLA NET PRIVATE GYM,VILLA NET PRIVATE CINEMA,VILLA NET PICKLEBALL,VILLA NET TENNIS,VILLA NET GOLF CART INCLUDED,VILLA NET HEATED POOL
Sandy Cove 203,"Young Estates, Barbados",Durants,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sandy View at White,"Young Estates, Barbados",Speightstown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SandyLane -Saramanda,"Young Estates, Barbados",Holetown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Saramar,"Young Estates, Barbados",Holetown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Schooner Bay 113,"Young Estates, Barbados",Speightstown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Schooner Bay 203,"Young Estates, Barbados",Speightstown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Schooner Bay 306 3BR,"Young Estates, Barbados",Speightstown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Sea Breeze,Old Trees","Young Estates, Barbados",Paynes Bay,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Seaclusion,"Young Estates, Barbados",Derricks,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Seastar 6BR Barbados,"Young Estates, Barbados",Gibbes,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Serenity 7BR at SL,"Young Estates, Barbados",Sandy Lane,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Smugglers Cove 7,"Young Estates, Barbados",Paynes Bay,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Solaris Beach H 5BR,"Young Estates, Barbados",Weston,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Sundance,Old Trees 3","Young Estates, Barbados",Paynes Bay,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sylanna 5BR,"Young Estates, Barbados",Holetown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
The Gatehouse,"Young Estates, Barbados",Porters,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tradewinds at S Lane,"Young Estates, Barbados",Sandy Lane,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Azzurro,"Young Estates, Barbados",Holetown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Ca Limbo 6BR,"Young Estates, Barbados",Holetown,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Ebbtide,"Young Estates, Barbados",Fitts Village,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Fosters House,"Young Estates, Barbados",Lower Carlton,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa One Greentails,"Young Estates, Barbados",Sion Hill,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Sea Breeze,"Young Estates, Barbados",Mount Standfast,Young Estates,stay@youngestates.com,Barbados,Young Estates,stay@youngestates.com,9.2,12,51,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1 Paradise Lane,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
A Dream Come True,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Adagio 5BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amani 3BR (6Pax),"Virgin Gorda, British Virgin Islands",Spring Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amateras,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Anniversary House,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beach Dreams4BR 8pax,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beachcomber 2BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beachcomber 4BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beachcomber5BR 12pax,"Virgin Gorda, British Virgin Islands",Mahoe Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beachrock Villa,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bellamare 4BR,"Virgin Gorda, British Virgin Islands",Nail Bay Road,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Lagoon3BR 8pax,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Caribbean Wind 5B-12,"Virgin Gorda, British Virgin Islands",Nail Bay Road,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Coconut Grove 5B 12P,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cornucopia 5BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Dos Sols,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Eden Waters 4BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Eden Waters 5B-12pax,"Virgin Gorda, British Virgin Islands",Little Trunk Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Euphoria 3BR - 8pax,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
La Vida,"Virgin Gorda, British Virgin Islands",Nail Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Loblolly 6BR - 14pax,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Rainbows End,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sand Castle 5BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sea Breeze VG,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sea Palms,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sea view,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Segura,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Serendipity,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sundowner,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sunset Watch,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tamar 5BR,"Virgin Gorda, British Virgin Islands",Leverick Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Valmarc 4BR,"Virgin Gorda, British Virgin Islands",Mahoe Bay,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Vista Villa 3BR,"Virgin Gorda, British Virgin Islands",Spanish Town,Virgin Gorda,reservations@vgvrbvi.com,British Virgin Islands,Virgin Gorda Villa Rentals,reservations@vgvrbvi.com,8.7,12,34,20,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Cayuco 9,"Sunny, Punta Cana",Cap Cana,Sunny Punta Cana,tomas@sunnypuntacana.com,"Cap Cana, Dominican Republic",Sunny Punta Cana,tomas@sunnypuntacana.com,8.7,12,38,8,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Cap Cana Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Yarari Royale 9BR,"Volalto, Punta Cana",Cap Cana,Volalto,info@volalto.com,"Cap Cana, Dominican Republic",Volalto Group,sales@volalto.com,9.7,12,64,14,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Cap Cana Resort,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Villa Cayuco 3,"Volalto, Punta Cana",Cap Cana Area,Volalto,info@volalto.com,"Cap Cana, Dominican Republic",Volalto Group,sales@volalto.com,9.7,12,64,14,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Cap Cana Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Oasis Juanillo3,"Volalto, Punta Cana",Cap Cana Resort,Volalto,info@volalto.com,"Cap Cana, Dominican Republic",Volalto Group,sales@volalto.com,9.7,12,64,14,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Cap Cana Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Las Hamacas Juanillo,"Volalto, Punta Cana",Cap Cana Resort,Volalto,info@volalto.com,"Cap Cana, Dominican Republic",Volalto Group,sales@volalto.com,9.7,12,64,14,2,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Cap Cana Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Aqua Vista CDC,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bali Seven ,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Belle Vue,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Brisa del Mar,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Adri,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Al Mare,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Batey,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Bliss,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Blue,"Caribbean Paradise, Casa de Campo",Casa de Campo,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Bo,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Caleton,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Cana,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Ceiba,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa del Lago,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa del Sol,"Caribbean Paradise, Casa de Campo",Casa de Campo,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Della Luna,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Mia,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Minitas CPH,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Roble,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Saman,"Caribbean Paradise, Casa de Campo",La Romana,Caribbean Paradise Homes,jan@caribbeanparadisehomes.com,"Casa de Campo, Dominican Republic",Caribbean Paradise Homes,rentals@caribbeanparadisehomes.com,8.7,12,70,30,6,no,yes,yes,yes,yes,10-15%,yes,yes,yes,Casa de Campo Resort,no,no,no,no,no,no,no,no,no,no,no,no,no,no
